"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"47 years"	"47"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	804	397840	202.1
	"1999"	"1999"	"47 years"	"47"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1143	494473	231.2
	"1999"	"1999"	"47 years"	"47"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	679	301305	225.4
	"1999"	"1999"	"47 years"	"47"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1088	300558	362.0
	"1999"	"1999"	"47 years"	"47"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1456	396824	366.9
	"1999"	"1999"	"47 years"	"47"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2125	485091	438.1
	"1999"	"1999"	"47 years"	"47"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1195	302055	395.6
	"1999"	"1999"	"48 years"	"48"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	603	288565	209.0
	"1999"	"1999"	"48 years"	"48"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	834	372848	223.7
	"1999"	"1999"	"48 years"	"48"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1208	469142	257.5
	"1999"	"1999"	"48 years"	"48"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	734	282832	259.5
	"1999"	"1999"	"48 years"	"48"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1092	280178	389.8
	"1999"	"1999"	"48 years"	"48"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1488	372507	399.5
	"1999"	"1999"	"48 years"	"48"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2244	458292	489.6
	"1999"	"1999"	"48 years"	"48"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1258	281611	446.7
	"1999"	"1999"	"49 years"	"49"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	683	294532	231.9
	"1999"	"1999"	"49 years"	"49"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	952	378328	251.6
	"1999"	"1999"	"49 years"	"49"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1361	479170	284.0
	"1999"	"1999"	"49 years"	"49"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	718	288309	249.0
	"1999"	"1999"	"49 years"	"49"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1166	285367	408.6
	"1999"	"1999"	"49 years"	"49"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1669	375879	444.0
	"1999"	"1999"	"49 years"	"49"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2381	468447	508.3
	"1999"	"1999"	"49 years"	"49"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1335	289374	461.3
	"1999"	"1999"	"50 years"	"50"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	780	295236	264.2
	"1999"	"1999"	"50 years"	"50"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	977	371331	263.1
	"1999"	"1999"	"50 years"	"50"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1472	488892	301.1
	"1999"	"1999"	"50 years"	"50"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	792	289105	273.9
	"1999"	"1999"	"50 years"	"50"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1259	286157	440.0
	"1999"	"1999"	"50 years"	"50"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1704	370729	459.6
	"1999"	"1999"	"50 years"	"50"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2520	476460	528.9
	"1999"	"1999"	"50 years"	"50"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1304	290841	448.4
	"1999"	"1999"	"51 years"	"51"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	902	293346	307.5
	"1999"	"1999"	"51 years"	"51"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1081	363039	297.8
	"1999"	"1999"	"51 years"	"51"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1661	482171	344.5
	"1999"	"1999"	"51 years"	"51"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	916	278026	329.5
	"1999"	"1999"	"51 years"	"51"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1395	281382	495.8
	"1999"	"1999"	"51 years"	"51"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1878	358605	523.7
	"1999"	"1999"	"51 years"	"51"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2765	470307	587.9
	"1999"	"1999"	"51 years"	"51"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1434	278081	515.7
	"1999"	"1999"	"52 years"	"52"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	1065	324805	327.9
	"1999"	"1999"	"52 years"	"52"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1240	394134	314.6
	"1999"	"1999"	"52 years"	"52"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1953	533703	365.9
	"1999"	"1999"	"52 years"	"52"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	981	307679	318.8
	"1999"	"1999"	"52 years"	"52"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1645	312778	525.9
	"1999"	"1999"	"52 years"	"52"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	2007	388510	516.6
	"1999"	"1999"	"52 years"	"52"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	3228	522414	617.9
	"1999"	"1999"	"52 years"	"52"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1641	309608	530.0
	"1999"	"1999"	"53 years"	"53"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	909	227324	399.9
	"1999"	"1999"	"53 years"	"53"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1118	275194	406.3
	"1999"	"1999"	"53 years"	"53"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1611	376090	428.4
	"1999"	"1999"	"53 years"	"53"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	908	213048	426.2
	"1999"	"1999"	"53 years"	"53"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1352	216181	625.4
	"1999"	"1999"	"53 years"	"53"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1773	267394	663.1
	"1999"	"1999"	"53 years"	"53"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2691	362470	742.4
	"1999"	"1999"	"53 years"	"53"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1349	210681	640.3
	"1999"	"1999"	"54 years"	"54"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	952	233351	408.0
	"1999"	"1999"	"54 years"	"54"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1177	285891	411.7
	"1999"	"1999"	"54 years"	"54"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1743	396734	439.3
	"1999"	"1999"	"54 years"	"54"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	893	227630	392.3
	"1999"	"1999"	"54 years"	"54"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1428	221735	644.0
	"1999"	"1999"	"54 years"	"54"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1855	279325	664.1
	"1999"	"1999"	"54 years"	"54"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	3005	383507	783.6
	"1999"	"1999"	"54 years"	"54"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1470	226802	648.1
	"2000"	"2000"	"45 years"	"45"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	541	327318	165.3
	"2000"	"2000"	"45 years"	"45"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	767	425987	180.1
	"2000"	"2000"	"45 years"	"45"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1121	531534	210.9
	"2000"	"2000"	"45 years"	"45"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	594	319223	186.1
	"2000"	"2000"	"45 years"	"45"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	981	324208	302.6
	"2000"	"2000"	"45 years"	"45"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1383	428175	323.0
	"2000"	"2000"	"45 years"	"45"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2111	527686	400.0
	"2000"	"2000"	"45 years"	"45"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1106	323140	342.3
	"2000"	"2000"	"46 years"	"46"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	578	313689	184.3
	"2000"	"2000"	"46 years"	"46"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	788	407240	193.5
	"2000"	"2000"	"46 years"	"46"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1158	510026	227.0
	"2000"	"2000"	"46 years"	"46"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	591	309032	191.2
	"2000"	"2000"	"46 years"	"46"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1035	305491	338.8
	"2000"	"2000"	"46 years"	"46"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1436	405323	354.3
	"2000"	"2000"	"46 years"	"46"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2290	499422	458.5
	"2000"	"2000"	"46 years"	"46"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1156	307151	376.4
	"2000"	"2000"	"47 years"	"47"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	656	311293	210.7
	"2000"	"2000"	"47 years"	"47"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	834	401024	208.0
	"2000"	"2000"	"47 years"	"47"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1268	503493	251.8
	"2000"	"2000"	"47 years"	"47"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	693	306155	226.4
	"2000"	"2000"	"47 years"	"47"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1107	303196	365.1
	"2000"	"2000"	"47 years"	"47"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1502	400235	375.3
	"2000"	"2000"	"47 years"	"47"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2334	493491	473.0
	"2000"	"2000"	"47 years"	"47"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1282	306177	418.7
	"2000"	"2000"	"48 years"	"48"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	696	302555	230.0
	"2000"	"2000"	"48 years"	"48"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	853	392716	217.2
	"2000"	"2000"	"48 years"	"48"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1309	490592	266.8
	"2000"	"2000"	"48 years"	"48"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	712	295913	240.6
	"2000"	"2000"	"48 years"	"48"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1225	294824	415.5
	"2000"	"2000"	"48 years"	"48"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1638	393913	415.8
	"2000"	"2000"	"48 years"	"48"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2413	480236	502.5
	"2000"	"2000"	"48 years"	"48"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1303	295401	441.1
	"2000"	"2000"	"49 years"	"49"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	686	291700	235.2
	"2000"	"2000"	"49 years"	"49"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	888	374120	237.4
	"2000"	"2000"	"49 years"	"49"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1374	473471	290.2
	"2000"	"2000"	"49 years"	"49"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	765	286029	267.5
	"2000"	"2000"	"49 years"	"49"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1222	282076	433.2
	"2000"	"2000"	"49 years"	"49"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1669	372183	448.4
	"2000"	"2000"	"49 years"	"49"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2663	461540	577.0
	"2000"	"2000"	"49 years"	"49"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1277	285416	447.4
	"2000"	"2000"	"50 years"	"50"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	743	294417	252.4
	"2000"	"2000"	"50 years"	"50"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1032	373308	276.4
	"2000"	"2000"	"50 years"	"50"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1514	484926	312.2
	"2000"	"2000"	"50 years"	"50"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	869	292040	297.6
	"2000"	"2000"	"50 years"	"50"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1299	286279	453.8
	"2000"	"2000"	"50 years"	"50"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1752	373800	468.7
	"2000"	"2000"	"50 years"	"50"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2648	474080	558.6
	"2000"	"2000"	"50 years"	"50"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1397	293792	475.5
	"2000"	"2000"	"51 years"	"51"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	840	287911	291.8
	"2000"	"2000"	"51 years"	"51"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1036	361359	286.7
	"2000"	"2000"	"51 years"	"51"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1662	475885	349.2
	"2000"	"2000"	"51 years"	"51"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	840	277814	302.4
	"2000"	"2000"	"51 years"	"51"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1421	275883	515.1
	"2000"	"2000"	"51 years"	"51"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1750	357238	489.9
	"2000"	"2000"	"51 years"	"51"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2828	463784	609.8
	"2000"	"2000"	"51 years"	"51"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1432	277235	516.5
	"2000"	"2000"	"52 years"	"52"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	1002	303292	330.4
	"2000"	"2000"	"52 years"	"52"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1218	372546	326.9
	"2000"	"2000"	"52 years"	"52"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1801	500256	360.0
	"2000"	"2000"	"52 years"	"52"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	966	287891	335.5
	"2000"	"2000"	"52 years"	"52"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1553	291313	533.1
	"2000"	"2000"	"52 years"	"52"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	2026	366625	552.6
	"2000"	"2000"	"52 years"	"52"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	3108	488570	636.1
	"2000"	"2000"	"52 years"	"52"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1587	288738	549.6
	"2000"	"2000"	"53 years"	"53"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	1056	304077	347.3
	"2000"	"2000"	"53 years"	"53"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1422	368115	386.3
	"2000"	"2000"	"53 years"	"53"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	2191	502005	436.4
	"2000"	"2000"	"53 years"	"53"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	1081	287104	376.5
	"2000"	"2000"	"53 years"	"53"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1684	291736	577.2
	"2000"	"2000"	"53 years"	"53"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	2172	360985	601.7
	"2000"	"2000"	"53 years"	"53"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	3492	488252	715.2
	"2000"	"2000"	"53 years"	"53"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1823	286964	635.3
	"2000"	"2000"	"54 years"	"54"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	1034	226574	456.4
	"2000"	"2000"	"54 years"	"54"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1215	274513	442.6
	"2000"	"2000"	"54 years"	"54"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1835	380661	482.1
	"2000"	"2000"	"54 years"	"54"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	947	218505	433.4
	"2000"	"2000"	"54 years"	"54"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1444	214893	672.0
	"2000"	"2000"	"54 years"	"54"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1842	268846	685.2
	"2000"	"2000"	"54 years"	"54"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2972	367531	808.6
	"2000"	"2000"	"54 years"	"54"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1425	217047	656.5
	"2001"	"2001"	"45 years"	"45"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	608	323936	187.7
	"2001"	"2001"	"45 years"	"45"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	814	422298	192.8
	"2001"	"2001"	"45 years"	"45"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1205	524397	229.8
	"2001"	"2001"	"45 years"	"45"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	637	312114	204.1
	"2001"	"2001"	"45 years"	"45"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	991	317641	312.0
	"2001"	"2001"	"45 years"	"45"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1358	421239	322.4
	"2001"	"2001"	"45 years"	"45"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2145	517073	414.8
	"2001"	"2001"	"45 years"	"45"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1078	313939	343.4
	"2001"	"2001"	"46 years"	"46"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	645	324594	198.7
	"2001"	"2001"	"46 years"	"46"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	850	422961	201.0
	"2001"	"2001"	"46 years"	"46"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1260	530919	237.3
	"2001"	"2001"	"46 years"	"46"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	649	317837	204.2
	"2001"	"2001"	"46 years"	"46"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1112	320834	346.6
	"2001"	"2001"	"46 years"	"46"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1481	423814	349.4
	"2001"	"2001"	"46 years"	"46"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2238	525287	426.1
	"2001"	"2001"	"46 years"	"46"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1182	321149	368.1
	"2001"	"2001"	"47 years"	"47"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	693	315416	219.7
	"2001"	"2001"	"47 years"	"47"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	942	410480	229.5
	"2001"	"2001"	"47 years"	"47"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1342	516849	259.7
	"2001"	"2001"	"47 years"	"47"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	678	312592	216.9
	"2001"	"2001"	"47 years"	"47"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1156	307948	375.4
	"2001"	"2001"	"47 years"	"47"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1645	409427	401.8
	"2001"	"2001"	"47 years"	"47"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2437	506900	480.8
	"2001"	"2001"	"47 years"	"47"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1267	311147	407.2
	"2001"	"2001"	"48 years"	"48"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	718	309455	232.0
	"2001"	"2001"	"48 years"	"48"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	895	399367	224.1
	"2001"	"2001"	"48 years"	"48"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1291	504761	255.8
	"2001"	"2001"	"48 years"	"48"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	768	305737	251.2
	"2001"	"2001"	"48 years"	"48"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1299	300370	432.5
	"2001"	"2001"	"48 years"	"48"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1504	397168	378.7
	"2001"	"2001"	"48 years"	"48"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2590	492882	525.5
	"2001"	"2001"	"48 years"	"48"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1447	305212	474.1
	"2001"	"2001"	"49 years"	"49"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	771	300788	256.3
	"2001"	"2001"	"49 years"	"49"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1010	391241	258.2
	"2001"	"2001"	"49 years"	"49"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1504	491598	305.9
	"2001"	"2001"	"49 years"	"49"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	826	295735	279.3
	"2001"	"2001"	"49 years"	"49"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1346	292614	460.0
	"2001"	"2001"	"49 years"	"49"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1681	392029	428.8
	"2001"	"2001"	"49 years"	"49"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2650	480855	551.1
	"2001"	"2001"	"49 years"	"49"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1438	294851	487.7
	"2001"	"2001"	"50 years"	"50"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	752	294388	255.4
	"2001"	"2001"	"50 years"	"50"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1031	378233	272.6
	"2001"	"2001"	"50 years"	"50"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1511	482398	313.2
	"2001"	"2001"	"50 years"	"50"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	845	290158	291.2
	"2001"	"2001"	"50 years"	"50"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1318	284150	463.8
	"2001"	"2001"	"50 years"	"50"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1788	375437	476.2
	"2001"	"2001"	"50 years"	"50"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2744	468400	585.8
	"2001"	"2001"	"50 years"	"50"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1444	288924	499.8
	"2001"	"2001"	"51 years"	"51"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	825	290968	283.5
	"2001"	"2001"	"51 years"	"51"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1044	369573	282.5
	"2001"	"2001"	"51 years"	"51"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1646	483844	340.2
	"2001"	"2001"	"51 years"	"51"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	907	290653	312.1
	"2001"	"2001"	"51 years"	"51"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1351	282194	478.7
	"2001"	"2001"	"51 years"	"51"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1930	369249	522.7
	"2001"	"2001"	"51 years"	"51"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2889	471581	612.6
	"2001"	"2001"	"51 years"	"51"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1497	291320	513.9
	"2001"	"2001"	"52 years"	"52"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	906	288325	314.2
	"2001"	"2001"	"52 years"	"52"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	1249	362492	344.6
	"2001"	"2001"	"52 years"	"52"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1816	481152	377.4
	"2001"	"2001"	"52 years"	"52"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	965	279823	344.9
	"2001"	"2001"	"52 years"	"52"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1475	276204	534.0
	"2001"	"2001"	"52 years"	"52"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1862	357962	520.2
	"2001"	"2001"	"52 years"	"52"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	3137	467785	670.6
	"2001"	"2001"	"52 years"	"52"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1565	279097	560.7
	"2001"	"2001"	"53 years"	"53"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	1089	293140	371.5
